"symbol","name","summary","currency","sector","industry_group","industry","exchange","market","country","state","city","zipcode","website","market_cap","is_active"
"5PAISA.NS","5Paisa Capital Limited","5paisa Capital Limited provides an online technology platform for trading in National Stock Exchange of India Limited, BSE Limited, and MCX. The company offers financial services, including online discounted stock broking, depository services; distributes mutual funds, bonds, and debentures, as well as insurance products; and provides equity and mutual fund research, investment advisory services, etc. It provides peer-to-peer lending services through its platform 5paisa and mobile app 5Paisa Loans. In addition, the company offers its services through a web-based trading terminal, mobile application, and a state of the art call and trade unit. It serves retail investors and high-volume traders. 5paisa Capital Limited was incorporated in 2007 and is headquartered in Thane, India.","INR","Financial Services","Capital Markets","Capital Markets","NSE","NSE India","India",NULL,"Thane","400604","https://www.5paisa.com","17730525184.0","1"
"ABAN.NS","Aban Offshore Limited","Aban Offshore Limited, together with its subsidiaries, provides offshore drilling and production services to companies engaged in the exploration, development, and production of oil and gas in India and internationally. It offers exploratory, drilling, hydrocarbons production, and manning and management services. The company owns and operates various offshore drilling rigs, drill ships, and floating production units. Aban Offshore Limited was incorporated in 1986 and is based in Chennai, India.","INR","Energy","Oil & Gas Drilling","Oil & Gas Drilling","NSE","NSE India","India",NULL,"Chennai","600008","https://www.abanoffshore.com","3522345728.0","1"
"63MOONS.NS","63 moons technologies limited","63 moons technologies limited provides computer programming, consulting, and related services in India and internationally. The company provides DOME, an online trading software; POWERARMS, an electronic trading, risk management, and clearing and settlement platform for energy markets; MARKETXSTREAM that provides advanced analytics and quantification; FOVEA, an agile risk management solution; and CNS, a clearing and settlement application. It also provides Risk Management solution to identify and mitigate risks; DMATS, a depository for multi asset transaction system; e-KYC, an online client on-boarding solution; Trading core, an order management and risk management system; a web-based trading platforms under the TRADEDART, Dealer, and Diet names. In addition, the company offers Program Trading, an ultra-low latency high frequency trading platform; Aero; Institutional, an execution solution; Protector, a post-trade risk management solution; Match for end-to-end post-trade; STP-Gate, a single window post-trade transaction processing service; and e-Hastakshar, a digital document signing solution. Further, it provides Voice Cast, a voice messaging service; BTS clous services, an IT infrastructure and application management solution; Tech Trader that automates trading; Voice Logger, a call management and recording solution; mutual fund solution; wave 2.0, a mobile trading application; and Riskalculator and DataCollector. Further, it provides trading, procurement, process management, risk consultancy, shared business support, IT infrastructure sharing, NBFC, Internet telecommunication, training, and certification and franchise services. The company was formerly known as Financial Technologies (India) Limited and changed its name to 63 moons technologies limited in May 2016. The company was incorporated in 1988 and is based in Mumbai, India.","INR","Technology","Software - Application","Software - Application","NSE","NSE India","India",NULL,"Mumbai","400093","https://www.63moons.com","20713984000.0","1"
"A2ZINFRA.NS","A2Z Infra Engineering Limited","A2Z Infra Engineering Limited offers engineering, procurement, construction, and facility management services in India and internationally. The company operates through Engineering Services, Facility Management Services, Municipal Solid Waste Management, Power Generation Projects, and Others segments. It offers integrated design, testing, installation, construction, and commissioning services, as well as engages in telecom infrastructure projects. The company engages in rural and railway electrification, reduction of AT&C losses, and feeder renovation and segregation; underground cabling; installation of high and low voltage distribution systems; erection of distribution lines; renewable energy and IT application-power; construction of substations and transmission lines; and provision of operation and maintenance services. It also provides and optical fiber cable NLD/access networking construction and maintenance, network integration, telecom infrastructure operation and maintenance, material planning and project management, and engineering construction and infrastructure services. In addition, the company collects, transports, treats, and disposes solid waste; trades in goods; rents equipment; manufactures electrical equipment; and provides operation and maintenance services, etc. Further, it provides facility management services, such as clean train station scheme, mechanized cleaning, intensive rake cleaning, hospitality and hygiene, and board housekeeping services to Indian railways; and deep cleaning, technical, and business support services, as well as offers power and renewable energy generation services. Additionally, it develops ecotech green toilet, bus shelter-cum-green toilet, magic brick, and e-hiran projects. The company was formerly known as A2Z Maintenance & Engineering Services Limited and changed its name to A2Z Infra Engineering Limited in October 2014. A2Z Infra Engineering Limited was incorporated in 2002 and is based in Gurugram, India.","INR","Industrials","Engineering & Construction","Engineering & Construction","NSE","NSE India","India",NULL,"Gurugram","122003","https://www.a2zgroup.co.in","2553740032.0","1"
"AAATECH.NS","AAA Technologies Limited","AAA Technologies Limited offers information technology (IT), and information security auditing and consulting services in India. The company offers information systems (IS) audit services, including operating systems, data base, networking, firewall, IDS, web application, data center, ATM, ERP, internet banking, banking, performance, forensic, and data migration audit, as well as mobile penetration testing, application systems functional review, and IS policies and procedures, and regulatory compliance services. It also provides information security services in the areas of penetration testing, application systems security review, IS controls review, BS 7799/ ISO 27001 implementation, IS security policy formation, and compliance with IS policies and procedures, as well as cyber security audit comprising protection of sensitive data and intellectual property, and networks. In addition, the company offers IT assurance services, such as business continuity planning, computer crime investigation, information technology training, and IS policies and procedures compliance services; and IT governance services in various models. It serves clients in the various industries, such as banking, insurance, financial institutions, NBFCs, regulatory bodies, government, municipalities corporations, payment gateways, stock brokers, education, travel and transport, hospitality, manufacturing and engineering, infrastructure, healthcare, information technology, IT enabled services, ports, power, trading corporations, entertainment, e-tendering, defense and refineries, and others. AAA Technologies Limited was incorporated in 2000 and is based in Mumbai, India.","INR","Technology","Information Technology Services","Information Technology Services","NSE","NSE India","India",NULL,"Mumbai","400072","https://www.aaatechnologies.co.in","1207812608.0","1"
"AAKASH.NS","Aakash Exploration Services Limited","Aakash Exploration Services Limited provides services for oil and gas exploration in India. The company offers services using machineries, such as mobile work over rigs, hot oil circulation units, heating units, indirect bath heaters, mobile sucker rod pumping units, utility services for return lines, mobile steaming units, mobile high pressure air compressors, mobile high and low pressure pumping units, and FRAC/ insulated tanks. Aakash Exploration Services Limited was incorporated in 2007 and is headquartered in Ahmedabad, India.","INR","Energy","Oil & Gas Equipment & Services","Oil & Gas Equipment & Services","NSE","NSE India","India",NULL,"Ahmedabad","380005","https://www.aakashexploration.com","1235249920.0","1"
"AAREYDRUGS.NS","Aarey Drugs & Pharmaceuticals Limited","Aarey Drugs & Pharmaceuticals Limited engages in the manufacture and sale of active pharmaceutical ingredients, intermediates, and specialty chemicals for various industrial applications in India. The company provides mono methyl and die methyl urea, ortho para nitro anisole, 2 bromomethyl 1, and 3 dioxalane and uracile, as well as active pharma ingredients, such as metformin HCL, mefenamic acid, and doxophylline. It also offers chemicals and solvents, including aromatic chemicals, chemical acids, chlor alkalies, glycols and glycol ethers, fiber intermediates, acetates and esters, and chlorinated solvents, as well as industrial alchols, ketones, amines, oleochemicals, intermediates, olefines, phosphates, fertilizers, monomers, and chemicals. The company's pharmaceutical products are used by pharmaceutical formulation manufacturers and pharmaceutical merchant exporters. It also trades in industrial solvents and chemicals. The company was incorporated in 1990 and is headquartered in Mumbai, India.","INR","Healthcare","Drug Manufacturers - Specialty & Generic","Drug Manufacturers - Specialty & Generic","NSE","NSE India","India",NULL,"Mumbai","400009","https://www.aareydrugs.com","1262215424.0","1"
"AARON.NS","Aaron Industries Limited","Aaron Industries Limited manufactures and sells elevators and elevator parts in India. The company operates through Elevator and Steel Polishing segments. It offers elevator cabins, including stainless steel, mild steel, and premium; autodoors; and designer sheets, such as full panel and seamless designer, as well as door operators, swing and manual doors, and gearless machines. The company was incorporated in 2013 and is based in Surat, India.","INR","Industrials","Specialty Industrial Machinery","Specialty Industrial Machinery","NSE","NSE India","India",NULL,"Surat","394210","https://aaronindustries.net","2679712512.0","1"
"AARTIDRUGS.NS","Aarti Drugs Limited","Aarti Drugs Limited, through its subsidiaries, engages in the manufacturing and marketing of active pharmaceutical ingredients (APIs), pharmaceutical intermediates, specialty chemicals, and formulations in India and internationally. The company provides APls in various therapeutic areas, including anti-inflammatory, cardioprotectants, antidiarrhoeals, antifungals, antiarthritis/osteoporosis, antibiotics, antidiabetics, Alzheimer's treatment, sedatives, vitamins, and alcoholism treatment; and pharmaceutical intermediate products comprising tinidazole, celecoxib, ciprofloxacin, clopidogrel, diclofenac, ketoconazole, nimesulide, and raloxifene. It also offers specialty chemical products, such as benzene sulphonyl chloride, benzene sulphonic acid, benzene sulphonic acid methyl ester, sodium benzene sulfinate, para toluene sulphonyl chloride, para toluene sulphonic acid methyl ester, N,N',N'-tris-(4-toluene sulfonyl)-diethylenetriamine, sodium para toluene sulfinate, para toluene sulphonyl hydrazide, di-phenyl sulphone, formamide, ammonium sulfate, and calcium fluoride, as well as benzene sulphonic acid sodium salt, benzyl nicotinate, methyl nicotinate, ethyl para toluene sulphonate, N-methyl methane sulfonamide, benzene sulphonamide, 2-phenoxy methane sulphanilide, para toluene sulfonamides, para chloro benzene sulphonamide, para chloro benzene sulphonyl chloride, ortho para toluene sulfonamides, ortho para toluene sulfonamides acid methyl ester, and N-methyl methane sulfonamides. In addition, the company's development products portfolio comprises Itraconazole and Fluconazole for antifungal applications; Dabigatran for use as an anticoagulant; Ticagrelor for cardiovascular diseases; Sitagliptin for use as an antidiabetics; and Alpha Lipoic Acid for application as an antioxidants. Further, it provides contract manufacturing services; and develops dermatology products to address various dermatological conditions, which include dermatitis, psoriasis, acne, and eczema. Aarti Drugs Limited was incorporated in 1984 and is headquartered in Mumbai, India.","INR","Healthcare","Drug Manufacturers - Specialty & Generic","Drug Manufacturers - Specialty & Generic","NSE","NSE India","India",NULL,"Mumbai","400 022","https://www.aartidrugs.co.in","44871827456.0","1"
"AARTIIND.NS","Aarti Industries Limited","Aarti Industries Limited manufactures and sells specialty chemicals and pharmaceuticals in India. The company offers di chloro benzene, nitro chloro and nitro benzene, nitro toluenes, sulphur, and other organic and inorganic products that are used in various processes, such as chlorination, nitration, hydrogenation, ammonolysis, halex, dinitro chlorination, alkylation, hydrolysis, methoxylation, esterification, diazotization, sulphonation, condensation, n-alkylation, and oxidation. It also provides end use products comprising dyes, basic pharma, pigments, agro chemicals, polymers, fertilizers, UV absorbers, plasticizers, specialty chemicals, flavour fragrance and food beverage products, and refinery and oil field chemicals, as well as intermediates for the manufacture of pharmaceuticals, agri-products, polymers, additives, pigments, and dyes. In addition, the company offers other specialty chemical products, such as single super phosphate, export grade calcium chloride granules, fuel additives, and phthalates; and sulphuric acid products. It also exports its products to approximately 60 countries in the United States, Europe, China, Japan, and internationally. The company was incorporated in 1984 and is headquartered in Mumbai, India.","INR","Basic Materials","Specialty Chemicals","Specialty Chemicals","NSE","NSE India","India",NULL,"Mumbai","400080","https://www.aarti-industries.com","250798391296.0","1"
"AARTIPHARM.NS","Aarti Pharmalabs Limited","Aarti Pharmalabs Limited primarily engages in the manufacture and sale of active pharmaceutical ingredients (APIs) and pharmaceutical intermediates in India and internationally. Its APIs and intermediates are used in various therapeutic areas, including anti-hypertensive, anti-asthmatic, anti-cancer, central nervous system (CNS) agents, skincare, decongestant, cardiovascular, anti-thalassemic, analgesic, anti-diabetic, and ophthalmologic medications. The company also develops new chemical entities (NCE), regulatory starting materials (RSM), basic starting materials, key starting materials (KSM), key building blocks, xanthine derivatives, and allied products. In addition, it provides contract development and manufacturing services for drug substance projects comprising NCEs, APIs, RSMs, and Intermediates for innovator pharmaceutical and biotech companies internationally. The company was formerly known as Aarti Organics Limited. Aarti Pharmalabs Limited was incorporated in 2019 and is based in Mumbai, India.","INR","Healthcare","Drug Manufacturers - Specialty & Generic","Drug Manufacturers - Specialty & Generic","NSE","NSE India","India",NULL,"Mumbai","400 080","https://www.aartipharmalabs.com","41243893760.0","1"
"AARTISURF.NS","Aarti Surfactants Limited","Aarti Surfactants Limited, together with its subsidiary, produces and supplies ionic and non-ionic, and specialty surfactants for the home and personal care, agro and oil, and industrial applications in India and internationally. The company's products portfolio includes surfactants, mild surfactants, rheology modifiers, pearlizing agents, UV filters, preservatives, syndet and soap bases, and active ingredients, as well as conditioning agents, blends, proteins, and quats. It serves skin care, oral, hair, cosmetics, bath and shower, sun care, fabric/laundry care, dishwashing, toilet care, and surface care markets. The company was formerly known as Arti Surfactants Limited. Aarti Surfactants Limited was incorporated in 2018 and is headquartered in Mumbai, India.","INR","Basic Materials","Specialty Chemicals","Specialty Chemicals","NSE","NSE India","India",NULL,"Mumbai","400080","https://www.aarti-surfactants.com","5227623936.0","1"
"AARVEEDEN.NS","Aarvee Denims & Exports Limited","Aarvee Denims and Exports Ltd. engages in the manufacture and sale of fabrics in India and internationally. It operates in two segments, Textile and Windmill. The company offers cotton fibers; cotton and texturized yarns; and denim and non-denim fabrics. It is also involved in the wind power generation business. The company was incorporated in 1988 and is headquartered in Ahmedabad, India.","INR","Consumer Cyclical","Textile Manufacturing","Textile Manufacturing","NSE","NSE India","India",NULL,"Ahmedabad","382405","https://www.aarveedenims.com","645064064.0","1"
"AARVI.NS","Aarvi Encon Limited","Aarvi Encon Limited operates as a technical manpower outsourcing company for engineering sector in India and the United Arab Emirates. The company offers procurement assistance and expending; pre commissioning and commissioning services; manpower outsourcing, and deputation and technical staffing; operation and maintenance; project and engineering design; project management; CAD/drafting/3D modelling; shutdown; construction supervision; and inspection services. It serves cement, engineering, infrastructure, metro, petrochemical, railway, telecom, EPC, IT, mono rail, pipeline, refinery, CGD and CNG, fertilizer, metal and minerals, oil and gas, power, and renewable energy industries. The company was incorporated in 1987 and is headquartered in Mumbai, India.","INR","Industrials","Staffing & Employment Services","Staffing & Employment Services","NSE","NSE India","India",NULL,"Mumbai","400013","https://www.aarviencon.com","1972924800.0","1"
"AAVAS.NS","Aavas Financiers Limited","Aavas Financiers Limited provides housing loans to customers belonging to low- and middle-income self-employed customers in semi-urban and rural areas in India. It offers home loans for flats, houses, and bungalows, as well as resale properties; land purchase and construction loans, including finance for self-construction of residential house; and home improvement loans, including loans for tiling or flooring, plaster, painting, etc. The company also provides home equity loans; and micro, small, and medium enterprise loans for business expansion, purchase of equipment, working capital, etc., as well as home loan balance transfer, and emergency credit line guarantee scheme products. The company was formerly known as AU Housing Finance Limited and changed its name to Aavas Financiers Limited in May 2017. Aavas Financiers Limited was incorporated in 2011 and is based in Jaipur, India.","INR","Financial Services","Mortgage Finance","Mortgage Finance","NSE","NSE India","India",NULL,"Jaipur","302020","https://www.aavas.in","114922708992.0","1"
"ABB.NS","ABB India Limited","ABB India Limited develops and sells products and system solutions to utilities, industries, channel partners, and original equipment manufacturers in India and internationally. The company operates through Motion, Robotics and Discrete Automation, Electrification, and Process Automation segments. The Motion segment produces and provides motors, generators, and drives that provide power, motion, and control for a range of automation applications; and offers solutions and related services. The Robotics and Discrete Automation segment provides value-added solutions in robotics, machine, and factory automation. The Electrification segment offers a range of digital and connected solutions for low- and medium-voltage applications, including EV infrastructure, modular substations, distribution automation, power protection, wiring accessories, switchgear, enclosures, cabling, sensing, and control products. The Process Automation segment provides products, systems, and services, such as turnkey engineering, control systems, measurement products, life cycle services, outsourced maintenance, and industry specific products for the optimization of the productivity of industrial processes in oil and gas, power, chemicals and pharmaceuticals, pulp and paper, metals and minerals, marine, and ports industries. The company was formerly known as ABB Limited and changed its name to ABB India Limited in June 2013. ABB India Limited was incorporated in 1949 and is based in Bengaluru, India. ABB India Limited is a subsidiary of ABB Asea Brown Boveri Ltd.","INR","Industrials","Specialty Industrial Machinery","Specialty Industrial Machinery","NSE","NSE India","India",NULL,"Bengaluru","560058","https://new.abb.com/indian-subcontinent","1377874477056.0","1"
"ABCAPITAL.NS","Aditya Birla Capital Limited","Aditya Birla Capital Limited, through its subsidiaries, provides various financial products and services in India and internationally. It operates through Life Insurance, General Insurance Broking, NBFC, Housing Finance, Stock and Securities Broking, Health Insurance, Asset Management, and Other Financial Services segments. The company offers protecting solutions, which include life, health, motor, and travel insurance; multiply wellness, and group and corporate general insurance; and investing solution, such as mutual funds, stocks and securities, wealth, portfolio management services, pension funds, and real estate investment. In addition, it provides financing solutions comprising personal, home, small and medium-sized enterprise, and mortgage finance, as well as loan against securities; and debt capital markets and loan syndication services. Further, the company offers asset management; and other financial services, such as depository, risk advisory, asset reconstruction, and other business support services. Additionally, it provides fund-based lending, insurance broking, corporate agency, alternate investment fund, digital services; private equity investment, management services; financial, and IT-enabled services. The company was incorporated in 2007 and is based in Mumbai, India. Aditya Birla Capital Limited operates as a subsidiary of Grasim Industries Limited.","INR","Financial Services","Financial Conglomerates","Financial Conglomerates","NSE","NSE India","India",NULL,"Mumbai","400013","https://www.adityabirlacapital.com","534421798912.0","1"
"ABFRL.NS","Aditya Birla Fashion and Retail Limited","Aditya Birla Fashion and Retail Limited designs, manufactures, distributes, and retails fashion apparel and accessories in India and internationally. It operates in two segments, Madura Fashion & Lifestyle, and Pantaloons. The company offers shirts, trousers, denims, t-shirts, dresses, suits and blazers, casuals, ceremonial, and party wear; shorts, joggers, track pants, sweatshirts, jackets, loungewear, biker t-shirts, polos, chinos, kurtas and bottom wear, occasion wear, festive ensembles, streetwear, classic shirts, logo T-shirts, casual pants, lehengas and kurta sets, ethnic bottom wear, athleisure wear, workwear, tops, sleepwear, crops tops, skirts, jeans, sportswear; accessories; and shawls, stoles, shoes, and lingerie, as well as home furnishings, footwear, handbags, bed linen, towels, smart table linen, dressy cushion covers, and others. It markets its products under the Louis Philippe, Van Heusen, Allen Solly, and Peter England brands, as well as operates fashion store under the Pantaloons brand. The company holds online and offline rights to the India network of California-based fashion brand Forever 21; and international brands portfolio, such as The Collective, Simon Carter, American Eagle, Ralph Lauren, Hackett London, Ted Baker, and Fred Perry. The company was formerly known as Pantaloons Fashion & Retail Limited and changed its name to Aditya Birla Fashion and Retail Limited in January 2016. Aditya Birla Fashion and Retail Limited was incorporated in 2007 and is based in Mumbai, India.","INR","Consumer Cyclical","Apparel Manufacturing","Apparel Manufacturing","NSE","NSE India","India",NULL,"Mumbai","400 070","https://www.abfrl.com","239429238784.0","1"
"ABMINTLLTD.NS","ABM International Limited","ABM International Limited imports and trades in plastic raw materials in India. The company sells PVC resins, finished leather products, DOP, urea, etc. ABM International Limited was incorporated in 1983 and is based in New Delhi, India.","INR","Basic Materials","Specialty Chemicals","Specialty Chemicals","NSE","NSE India","India",NULL,"New Delhi","110015","https://www.abmintl.in","583766400.0","1"
"ABSLAMC.NS","Aditya Birla Sun Life AMC Limited","Aditya Birla Sun Life AMC Limited is privately owned investment manager. The firm provides its services to individuals including high net worth individuals and institutional clients. It manages separate equity and fixed income portfolios. The firm also manages launches and manages equity and fixed income mutual funds, manages balanced mutual funds, and hedge funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm employs a fundamental analysis to make its investments. It also make real estate investments. It was founded in 1994 and is based in Mumbai, India with an additional office in Ahmedabad, India. The firm was formerly known as Birla Sun Life Asset Management Company Limited. Aditya Birla Sun Life AMC Limited operates as a subsidiary of Aditya Birla Financial Services Private Ltd.","INR","Financial Services","Asset Management","Asset Management","NSE","NSE India","India",NULL,"Mumbai","400093","https://www.birlasunlife.com","138067607552.0","1"
"ADROITINFO.NS","Adroit Infotech Limited","Adroit Infotech Limited operates as an SAP consulting company in India and internationally. It provides a range of business solutions, including business and technology consulting, enterprise solutions, systems integration, custom application development, application maintenance and production support, infrastructure management, cloud ecosystem integration, product engineering and lifecycle solutions, business process management, and business platforms and solutions, as well as offers software products. The company also provides migration to HANA; conventional SAP ECC; S/4 HANA enterprise management; and other services. It serves chemical; life science; engineering, construction, and operation; health care; automotive; industrial machinery and components; retail; food processing; agribusiness; insurance; textiles; and mill products industries. The company was formerly known as Sphere Global Services Limited and changed its name to Adroit Infotech Limited in February 2018. Adroit Infotech Limited was incorporated in 1990 and is based in Hyderabad, India.","INR","Technology","Information Technology Services","Information Technology Services","NSE","NSE India","India",NULL,"Hyderabad","500034","https://www.adroitinfotech.com","928988032.0","1"
